name	CAS_num	aroma	flavor
2-Acetyl-3, (5 Or 6)-Dimethylpyrazine, Mixture Of Isomers		sweet savory|cooked brown earthy|nutty	sweet brown earthy|nutty
2-Acetyl-3,5-Dimethylfuran	22940-86-9	sharp|sour brown	sharp|sour fruity starchy brown
2-Acetyl-3-Ethylpyrazine	32974-92-8	savory|meaty starchy	
2-Acetyl-3-Methylpyrazine	23787-80-6	starchy savory|cooked earthy|nutty	savory|cooked sharp|bitter earthy|nutty
2-Acetyl-5-Methylfuran	1193-79-9	earthy|nutty	earthy|nutty
2-Acetylfuran	1192-62-7	earthy|woody brown fatty sharp|bitter	starchy
2-Acetylpyridine	1122-62-9	vegetal|herbal	
2-Acetylthiazole	24295-03-2	vegetal|allium vegetal vegetal|herbal	vegetal vegetal|vegetable
2-Amyl-5 Or 6-Keto-1,4-Dioxane		fruity	
2-Butanone	"78-93-3
135311-02-3"	fruity	
2-Butyl-2-Butenal	25409-08-9	sharp|sour	
2-Butyl-5- Or 6-Keto-1,4-Dioxane	65504-95-2	fruity dairy	
2-Butylfuran	4466-24-4	sharp|spicy	savory|meaty fruity sharp|spicy fruity|berry
2-Butylisothiocyanate	4426-79-3		vegetal
2-Butyrlfuran	4208-57-5	sharp|sour brown	savory|meaty fruity
2-Decanone	693-54-9	vegetal floral fruity	fruity vegetal floral earthy|woody
2-Decenal		fruity	savory|meaty fatty
2-Decylfuran	83469-85-6	sharp|spicy	savory|meaty fruity sharp|spicy
2-Dodecenal		fatty fruity|citrusy	savory|meaty vegetal vegetal|vegetable fruity|citrusy
2-Dodecenal	20407-84-5	fruity|citrusy	
2-Ethoxythiazole	15679-19-3	savory|meaty sharp|repugnant savory|cooked vegetal earthy|nutty	sharp|repugnant brown earthy|nutty sharp|bitter
2-Ethyl-1,3,3-Trimethyl-2-Norbornanol	18368-91-7		fruity sharp|sour fruity|berry fruity|citrusy
2-Ethyl-1-Hexanol	104-76-7	floral	fruity floral fatty
2-Ethyl-3,5 Or (6)-Dimethylpyrazine	27043-05-6	savory|cooked brown|chocolate earthy|woody sharp|bitter earthy|nutty	savory|cooked earthy|nutty
2-Ethyl-3-Methylpyrazine	15707-23-0	earthy starchy savory|cooked	earthy|nutty
2-Ethyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-2-buten-1-ol	28219-61-6	floral earthy|woody	
2-Ethyl-4-Hydroxy-5-Methyl-3(2H)-Furanone	27538-09-6	sweet fruity brown	savory|cooked sharp|bitter
2-Ethyl-4-Methylthiazole	15679-12-6	sharp|sour earthy|nutty sharp|repugnant	savory|meaty savory
2-Ethyl-5-Methylpyrazine	13360-64-0	savory|cooked dairy vegetal starchy sharp|bitter earthy|nutty brown	
